studyid,fechaa1,r_a1,fechaa2,r_a2,fechaa3,r_a3,fechab1,r_b1,fechab2,r_b2,fechab3,r_b3,fechac1,r_c1,fechac2,r_c2,fechac3,r_c3,fechad1,r_d1,fechad2,r_d2,fechad3,r_d3,fechae1,r_e1,fechae2,r_e2,fechae3,r_e3,fechaf1,r_f1,fechaf2,r_f2,fechaf3,r_f3,fechag1,r_g1,fechag2,r_g2,fechag3,r_g3,fechah1,r_h1,fechah2,r_h2,fechah3,r_h3,fechai1,r_i1,fechai2,r_i2,fechai3,r_i3,fechaj1,r_j1,fechaj2,r_j2,fechaj3,r_j3,fechak1,r_k1,fechak2,r_k2,fechak3,r_k3,ms_a,h_ini,m_ini,p1,p2,p3_1,p3_2,p4a,p4b,p5a,p5b,p6,p7,p8a,p8b,p9a,p9b,p9c,p10a,p10b,p11,p12_1,p12_2,p12_3,p13_a,p13_b,p14,p15,p16,p17,p18,p19,p20,p21_a,p21_b,p22,p23,p24,p25,p26,p27_a,p27_b,p28,p29,p30_a,p30_b,p31_a,p31_b,p32,p33_1,p33_2,p33_3,p34_1,p34_2,p34_3,p35_a,p35_b,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,h_ter,m_ter,min,weight,rp1,d1lc394,rp67,rp3_1,encue,sup,edo,muni,ageb,nreg,nciudad,cd,loca,date1,cases,total,muni_r
1,11200,5, ,0, ,0,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,9,42,4,3,2,8,3,8,8,2,26,1,3,3,2,2,1,2,2,3,2,2,2,7,7,2,2,2,7,7,2,2,3,3,2,1,2,2,1,4,4,3,12,84,9,11,9,3,1,1,1,1,1,1,29,9,1,1,2,7,1,1,4,3,2,2,1,1,1,2,2,7,7,7,2,7,2,7,7,2,1,1,5,5,7,2,1,4,10,13,31,1.1,4,3,3,1,1069,11,5,35,017-4,1,4,6,18,11200,1,1,535
2,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,10,20,3,3,2,2,2,2,1,2,46,1,1,1,1,1,1,4,4,1,1,1,1,7,7,1,1,2,7,7,1,1,1,1,1,1,1,1,1,4,4,3,11,46,9,69,9,1,1,1,1,1,1,1,42,9,1,1,1,1,2,2,1,3,1,1,1,1,1,2,2,7,7,7,2,7,2,7,7,1,1,1,3,5,7,2,1,4,10,49,29,.71,3,3,3,1,1069,11,5,35,017-4,1,4,6,18,11200,1,1,535
3,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,10,55,3,4,1,1,2,1,2,3,53,2,2,4,2,1,2,2,2,3,5,2,3,11,9,3,1,1,2,7,1,2,3,1,1,1,2,3,1,3,3,3,12,72,9,20,33,2,1,1,2,1,1,1,35,9,2,3,2,7,1,4,3,2,1,4,1,1,1,1,2,7,7,7,2,7,2,7,7,9,2,1,1,5,7,1,4,3,11,15,20,.78,3,4,2,1,1069,11,5,35,017-4,1,4,6,18,11200,1,1,535
4,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,11,38,5,2,1,1,1,2,2,2,8,2,1,1,2,2,2,4,4,2,3,1,1,7,7,1,1,2,7,7,2,1,2,2,2,2,1,2,4,4,4,3,12,9,9,61,81,2,1,1,2,2,2,1,9,9,1,2,2,7,4,1,2,2,2,2,1,1,1,1,1,4,2,3,2,7,2,7,7,1,2,2,7,7,1,1,1,3,11,58,20,.8,4,2,2,1,1069,11,5,35,017-4,1,4,6,18,11200,1,1,535
5,11200,5, ,0, ,0,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,12,10,3,2,1,2,2,1,2,2,38,2,2,1,2,2,1,4,4,3,4,2,3,11,9,3,3,2,7,7,1,1,1,2,3,1,1,3,4,4,4,3,12,78,9,33,9,3,1,1,1,1,2,2,22,9,2,1,1,2,4,3,1,4,2,3,1,1,3,1,2,7,7,7,2,7,2,7,7,5,2,2,7,7,1,2,1,4,12,38,28,.78,3,2,3,1,1069,11,5,35,017-4,1,4,6,18,11200,1,1,535
6,11200,5, ,0, ,0,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,9,45,5,2,2,2,1,1,2,2,11,2,1,1,1,1,1,4,2,3,2,2,3,11,9,1,1,2,7,7,1,2,4,3,3,4,3,3,1,2,2,3,13,8,9,8,9,2,1,1,2,2,2,1,8,9,1,1,2,7,1,2,3,3,2,3,1,1,7,2,2,7,7,7,2,7,2,7,7,5,2,2,7,7,1,2,1,4,10,15,30,.8,4,2,3,1,1071,11,5,35,017-4,1,4,6,18,11200,1,1,535
7,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,10,20,1,3,2,2,1,8,2,2,39,2,4,1,1,1,1,4,5,2,5,3,3,26,9,3,4,2,7,7,1,1,1,2,3,1,1,3,1,4,4,1,7,40,31,75,9,3,1,1,2,1,2,1,42,9,2,2,1,1,2,1,3,2,2,3,1,2,7,1,2,7,7,7,2,7,2,7,7,5,2,2,7,7,1,1,1,4,10,45,25,1.59,1,3,3,1,1071,11,5,35,017-4,1,4,6,18,11200,1,1,535
8,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,11,0,4,2,3,8,2,8,3,3,32,1,3,3,1,1,1,4,4,4,5,5,5,7,7,2,4,2,7,7,1,2,2,1,3,4,1,3,1,4,4,3,13,38,9,39,68,2,1,2,2,2,2,2,42,35,2,1,2,7,2,1,4,4,2,2,1,1,1,1,2,7,7,7,2,7,2,7,7,2,2,2,7,7,1,1,1,4,11,20,20,.8,4,2,3,2,1071,11,5,35,017-4,1,4,6,18,11200,1,1,535
9,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,11,30,3,2,3,8,3,8,2,1,20,1,2,2,1,1,1,2,4,1,1,1,1,7,7,2,4,2,7,7,1,2,1,1,1,1,1,1,2,4,4,3,13,8,9,12,9,3,1,2,2,8,2,2,8,9,6,1,1,2,2,1,1,4,2,1,1,1,1,2,2,7,7,7,2,7,2,7,7,2,2,2,7,7,1,2,1,4,11,50,20,.78,3,2,3,2,1071,11,5,35,017-4,1,4,6,18,11200,1,1,535
10,11200,5, ,0, ,0,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,12,0,5,1,2,8,2,8,8,1,11,3,3,2,2,2,2,4,4,1,1,1,1,7,7,2,1,2,7,7,1,2,4,1,1,1,1,2,1,4,4,3,13,25,31,39,53,1,1,2,2,1,2,1,8,9,9,4,1,2,2,1,4,4,1,1,1,1,1,1,2,7,7,7,2,7,2,7,7,1,2,1,4,6,7,2,1,4,12,25,25,.8,4,2,3,1,1071,11,5,35,017-4,1,4,6,18,11200,1,1,535
11,11200,5, ,0, ,0,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,14,13,5,1,2,8,2,8,2,2,11,1,2,1,1,1,2,1,4,3,1,1,1,7,7,2,1,1,1,2,1,2,3,1,4,7,1,2,2,4,4,3,12,84,9,33,9,3,1,2,2,1,1,1,8,9,1,1,2,7,2,2,3,4,2,1,1,1,1,1,2,7,7,7,2,7,2,7,7,1,1,2,7,7,3,2,1,3,14,38,25,.9,4,2,2,1,1071,11,5,35,211-3,1,4,6,18,11200,1,1,535
12,11200,5, ,0, ,0,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,14,46,3,3,2,2,2,2,2,2,45,2,1,1,1,1,2,2,5,1,2,1,1,7,7,1,1,1,1,2,1,1,1,1,1,1,1,1,3,4,4,2,7,38,11,39,9,1,1,1,1,1,1,1,36,9,3,1,1,2,4,3,2,2,1,2,1,1,1,1,2,7,7,7,2,7,2,7,7,1,1,1,3,5,7,1,1,3,15,14,28,.58,3,3,2,1,1071,11,5,35,211-3,1,4,6,18,11200,1,1,535
13,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,15,20,4,3,2,8,1,8,2,2,11,1,3,3,2,2,2,2,4,3,1,2,3,11,9,1,1,2,7,7,1,2,3,1,3,3,1,2,3,4,4,3,12,53,9,39,20,2,2,1,1,1,2,1,12,9,1,1,2,7,2,2,1,2,1,2,1,1,1,1,2,7,7,7,2,7,2,7,7,5,2,1,4,6,7,1,1,4,15,43,23,.66,4,3,3,1,1071,11,5,35,211-3,1,4,6,18,11200,1,1,535
14,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,15,52,3,4,2,2,1,1,2,2,45,2,3,1,2,1,2,4,4,2,2,2,2,7,7,1,1,1,1,2,3,2,2,1,2,2,1,2,1,4,4,3,12,11,18,62,61,3,1,1,1,1,2,1,16,42,2,4,2,7,2,2,4,4,2,1,1,1,1,2,2,7,7,7,1,1,2,7,2,1,1,1,3,5,7,1,1,3,16,17,25,.58,3,4,2,1,1071,11,5,35,211-3,1,4,6,18,11200,1,1,535
15,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,16,32,2,4,2,2,3,8,8,2,39,1,3,3,1,1,1,4,5,2,5,5,5,7,7,2,1,1,1,2,1,2,4,1,2,1,1,2,1,4,2,2,7,38,46,53,9,2,1,1,2,1,2,2,35,11,2,4,2,7,2,3,2,2,1,3,1,1,1,2,2,7,7,7,2,7,1,2,7,8,2,1,1,5,7,1,1,3,16,56,24,.81,2,4,2,1,1071,11,5,35,211-3,1,4,6,18,11200,1,1,535
16,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,14,3,4,4,1,1,1,1,1,2,45,1,3,1,2,2,2,4,5,2,5,5,5,7,7,3,1,1,1,2,1,2,2,1,3,3,1,3,1,2,2,5,7,59,53,11,20,2,1,1,2,1,2,2,35,22,2,3,2,7,2,1,3,3,1,2,1,1,2,1,2,7,7,7,2,7,1,1,2,1,2,1,1,5,7,1,1,1,14,30,27,.66,4,4,1,1,1069,11,5,35,211-3,1,4,6,18,11200,1,1,535
17,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,14,45,3,4,1,1,1,1,2,2,11,2,2,2,2,2,2,4,4,1,2,2,2,7,7,2,1,1,1,2,1,2,2,1,2,3,1,3,1,1,1,3,23,18,9,81,9,2,1,1,2,1,2,1,35,29,4,2,1,1,2,2,3,3,1,2,1,1,3,1,1,3,1,1,1,1,1,1,2,1,1,1,3,2,7,1,1,1,15,13,28,.58,3,4,1,1,1069,11,5,35,211-3,1,4,6,18,11200,1,1,535
18,11200,4, ,0, ,0,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,15,35,1,3,2,2,3,3,2,2,19,1,2,1,1,1,2,4,4,2,3,2,2,7,7,1,2,1,1,2,2,1,2,1,2,3,2,3,2,4,4,3,28,47,66,61,33,2,1,1,1,1,1,2,22,9,2,2,2,7,2,4,3,3,1,3,2,1,1,1,1,3,2,3,2,7,1,1,2,5,1,2,7,7,2,1,1,1,16,4,29,1.53,1,3,1,1,1069,11,5,35,211-3,1,4,6,18,11200,1,1,535
19,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,16,12,3,4,2,2,2,1,2,2,11,3,1,2,1,1,2,2,2,1,2,2,2,7,7,1,1,1,1,1,3,2,2,1,2,1,1,2,1,2,1,13,7,90,9,20,9,2,1,1,2,1,1,1,48,9,2,3,2,7,2,4,4,3,1,3,1,1,1,2,2,7,7,7,1,1,1,1,2,2,2,1,1,2,7,1,1,1,16,37,25,.64,3,4,1,1,1069,11,5,35,211-3,1,4,6,18,11200,1,1,535
20,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,16,45,3,4,1,1,2,2,2,1,11,8,2,2,1,8,2,4,4,1,8,1,1,7,7,3,8,1,1,1,3,8,3,1,2,4,3,4,1,1,1,8,7,78,9,46,9,3,1,1,2,2,2,1,35,9,1,2,2,7,2,8,2,3,1,3,3,1,1,2,1,3,3,2,1,1,1,2,2,1,1,1,3,2,7,1,1,1,17,15,30,.58,3,4,1,1,1069,11,5,35,211-3,1,4,6,18,11200,1,1,535
21,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,18,43,3,4,2,1,1,1,2,3,11,2,2,1,2,2,2,3,5,1,1,1,3,9,9,3,1,1,1,2,1,2,2,1,2,3,1,2,1,1,1,3,60,38,46,66,20,2,1,1,2,2,1,2,48,35,1,3,2,7,2,1,3,3,1,3,1,1,3,1,2,7,7,7,2,7,1,1,2,4,2,1,5,4,7,1,1,3,19,3,20,.84,3,4,2,1,1069,11,5,35,158-1,1,4,6,18,11200,1,1,535
22,51200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,19,5,1,3,3,2,1,2,2,2,11,2,1,3,2,1,2,4,1,2,2,1,1,7,7,4,2,2,7,7,2,2,3,1,3,3,1,2,2,1,1,3,14,78,9,12,9,1,1,1,1,1,1,1,11,42,6,1,1,2,2,1,2,3,1,3,1,1,1,1,2,7,7,7,2,7,2,7,7,2,1,1,3,5,7,2,1,4,19,37,32,1.99,1,3,3,2,1069,11,5,35,158-1,1,4,6,18,51200,1,1,535
23,41200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,19,45,2,3,1,1,2,2,2,2,26,1,1,2,2,2,2,4,5,2,2,1,2,7,7,2,2,1,2,7,1,2,2,2,1,1,1,1,1,4,4,3,12,84,9,12,9,4,1,1,2,2,2,2,8,9,9,1,2,7,1,3,3,3,2,4,1,1,1,2,1,3,4,2,1,1,2,7,2,1,2,1,3,5,7,1,1,4,20,18,33,1.06,2,3,3,1,1069,11,5,35,158-1,1,4,6,18,41200,1,1,535
24,51200,5, ,0, ,0,51200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,18,10,5,2,2,2,2,2,2,2,11,2,2,1,1,2,2,2,4,2,2,2,2,7,7,2,2,2,7,7,2,2,1,1,2,1,1,2,1,4,4,4,12,38,9,15,12,2,1,1,1,1,1,2,42,9,1,1,2,7,1,1,2,3,2,2,1,1,2,2,2,7,7,7,2,7,2,7,7,1,2,2,7,7,1,2,1,4,18,40,30,.86,4,2,3,1,1069,11,5,35,158-1,1,4,6,18,51200,1,1,535
25,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,20,42,2,4,2,2,3,3,2,2,19,1,3,1,2,2,2,4,4,2,2,1,1,7,7,2,2,2,7,7,1,2,4,1,1,2,1,2,1,3,3,4,14,9,9,68,9,2,1,1,1,1,2,8,8,9,5,4,1,1,1,3,3,3,1,3,1,1,4,1,1,3,4,2,2,7,2,7,7,1,1,1,4,5,7,1,1,4,21,18,36,1.65,2,4,3,1,1069,11,5,35,158-1,1,4,6,18,11200,1,1,535
26,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,18,16,3,4,2,2,1,2,2,2,11,3,2,1,2,2,1,4,4,2,2,2,2,7,7,3,1,1,1,2,1,2,2,1,3,2,1,3,1,4,4,3,14,78,31,20,9,1,1,1,2,1,1,1,48,12,1,1,2,7,1,4,3,2,1,3,1,1,1,1,2,7,7,7,1,2,1,2,7,1,1,1,2,5,7,1,1,3,18,36,20,.76,3,4,2,1,1071,11,5,35,158-1,1,4,6,18,11200,1,1,535
27,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,18,40,3,3,2,2,2,2,2,2,11,1,1,1,2,1,2,4,4,2,2,2,2,7,7,1,1,1,2,7,1,2,4,1,2,3,1,3,1,1,2,3,12,40,9,68,9,1,1,2,1,1,1,2,9,9,2,4,2,7,2,3,1,2,1,4,1,1,4,1,2,7,7,7,1,2,2,7,7,5,1,1,1,5,7,2,1,4,19,0,20,.76,3,3,3,1,1071,11,5,35,158-1,1,4,6,18,11200,1,1,535
28,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,19,5,1,4,2,2,2,2,2,2,11,1,1,1,2,1,1,4,5,1,1,1,1,7,7,1,1,1,1,5,2,1,2,2,3,2,1,3,1,4,2,3,12,59,40,12,9,1,1,9,2,1,1,1,35,9,5,4,2,7,2,3,3,3,1,2,1,1,5,2,2,7,7,7,2,7,2,7,7,1,2,2,7,7,2,1,1,4,19,30,25,1.7,1,4,3,1,1071,11,5,35,158-1,1,4,6,18,11200,1,1,535
29,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,20,4,3,4,3,2,2,2,2,2,12,1,1,2,1,1,2,4,4,3,2,1,4,17,11,3,1,1,1,2,1,2,3,1,2,3,1,2,2,4,4,3,12,38,59,12,9,2,1,2,2,1,1,1,28,35,6,3,2,7,2,3,4,4,1,4,1,1,1,1,1,3,4,2,1,1,1,2,2,1,1,1,5,6,7,1,1,3,20,27,23,.76,3,4,2,2,1071,11,5,35,158-1,1,4,6,18,11200,1,1,535
30,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,19,36,5,4,2,2,1,1,2,2,39,1,1,1,2,2,2,4,5,3,2,1,2,7,7,1,1,1,1,2,1,1,2,1,1,1,1,2,1,4,4,3,12,53,38,53,9,3,1,1,2,1,1,1,42,22,2,4,2,7,2,2,1,2,1,1,1,1,1,1,2,7,7,7,2,7,2,7,7,2,1,1,1,5,7,1,1,4,19,58,22,1.18,4,4,3,1,1071,11,5,35,158-1,1,4,6,18,11200,1,1,535
91,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,9,15,2,3,2,8,2,8,2,2,12,1,8,1,1,2,2,4,4,1,8,1,1,7,7,1,1,1,1,2,1,1,3,2,3,2,1,2,2,4,4,3,13,59,9,20,53,2,1,1,2,2,1,8,11,9,1,1,1,1,1,4,2,3,1,3,1,1,7,1,1,3,2,11,2,7,2,7,7,1,2,2,7,7,1,1,1,3,9,47,32,1.08,2,3,2,1,1022,12,5,30,011-0,1,4,5,14,11200,1,1,530
92,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,10,55,1,4,2,2,2,2,2,2,26,2,1,1,2,2,2,4,4,3,3,3,3,8,9,4,2,1,2,7,2,2,4,1,3,1,1,3,2,3,3,3,12,11,9,12,9,3,1,1,2,1,1,2,29,16,2,3,2,7,2,3,4,3,1,3,1,1,4,2,1,1,2,4,1,1,1,1,1,5,2,1,3,2,7,1,1,3,11,30,35,1.73,1,4,2,1,1022,12,5,30,011-0,1,4,5,14,11200,1,1,530
93,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,11,33,5,3,2,8,2,8,8,2,11,1,2,1,2,2,2,2,2,1,8,5,5,7,7,2,1,1,1,2,2,2,2,1,2,2,1,2,1,4,4,3,13,40,9,15,9,3,1,1,2,1,2,1,8,9,1,1,2,7,2,3,4,4,1,2,1,1,1,2,1,1,2,3,1,1,2,7,2,5,2,1,1,5,7,1,1,3,12,5,32,.87,4,3,2,1,1022,12,5,30,011-0,1,4,5,14,11200,1,1,530
94,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,12,9,3,4,2,1,1,2,2,3,20,3,1,1,2,2,2,4,4,2,2,2,2,7,7,2,2,1,1,2,1,2,3,1,2,2,1,1,2,2,4,3,9,38,11,81,33,1,1,1,2,1,1,1,48,42,1,2,2,7,2,3,4,4,1,2,1,1,1,1,2,7,7,7,1,1,2,7,2,1,1,1,3,5,7,1,1,3,12,31,22,.77,3,4,2,1,1022,12,5,30,011-0,1,4,5,14,11200,1,1,530
95,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,12,34,2,4,2,2,2,2,2,2,26,3,2,2,2,1,2,4,4,2,2,2,2,7,7,2,1,1,1,2,1,1,2,1,2,2,1,2,2,4,4,3,12,11,9,33,53,1,1,1,2,1,1,1,35,9,6,1,2,7,1,4,3,2,1,3,1,1,1,1,2,7,7,7,1,1,2,7,2,4,2,1,1,5,7,1,1,3,13,8,34,1.08,2,4,2,1,1022,12,5,30,011-0,1,4,5,14,11200,1,1,530
96,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,13,12,1,4,2,2,2,2,8,2,26,2,1,1,1,1,2,4,4,2,1,1,1,7,7,3,3,1,2,7,1,2,2,1,2,2,1,2,2,4,4,2,7,32,9,47,9,1,1,1,2,8,1,2,28,9,2,1,2,7,1,2,2,3,1,3,1,1,7,2,2,7,7,7,2,7,1,1,2,1,2,1,1,5,7,1,1,2,13,45,33,1.73,1,4,2,1,1022,12,5,30,011-0,1,4,5,14,11200,1,1,530
